field.date,tree,leaf,gall_mm2,leaf_area_mm2,eriophyid.pres,ruling
16-May-22,7,3,0,931.880915,1,0
16-May-22,8,1,0,2102.98697,1,1
16-May-22,11,3,0,2407.572142,1,1
16-May-22,12,3,9.306425672,2391.978996,0,1
16-May-22,14,3,0,1976.992697,1,1
16-May-22,15,3,0,2184.447316,1,1
16-May-22,16,2,10.50713917,2050.539087,0,0
16-May-22,17,3,10.80642149,2176.99214,0,0
16-May-22,19,3,2.894257166,1715.629626,0,0
16-May-22,22,1,7.399620951,2078.245103,0,0
16-May-22,26,3,11.04477208,2413.382162,0,0
16-May-22,29,3,0,1343.472958,1,0
16-May-22,30,3,16.41751696,2077.065895,0,0
16-May-22,32,2,2.44802185,1867.306623,0,0
16-May-22,35,2,0,2357.161888,1,1
16-May-22,35,3,0,2203.977728,1,0
16-May-22,37,2,0,2728.698487,1,0
16-May-22,40,3,0,1563.913203,1,1
16-May-22,43,3,15.86017085,2551.661346,0,0
16-May-22,44,1,6.944425088,2477.847932,0,0
16-May-22,47,2,4.379916107,2100.207408,0,0
16-May-22,48,2,17.87271004,2474.471597,0,0
16-May-22,52,1,6.184570575,3008.348245,0,0
16-May-22,54,3,11.71143689,1827.021789,0,0
16-May-22,55,2,0,2752.284443,1,1
16-May-22,57,3,0,3618.821454,1,1
16-May-22,59,1,0,2357.527479,1,0
16-May-22,61,2,9.084204069,2379.018458,0,0
16-May-22,62,1,44.304536,2493.5271,0,0
16-May-22,62,2,55.27403948,2838.251945,0,0
16-May-22,62,3,8.786713859,3624.10997,0,0
16-May-22,63,3,0,2181.576356,1,1
16-May-22,65,2,10.63975529,2789.246706,0,0
16-May-22,66,2,2.741927841,2364.837494,0,0
30-Jun-22,7,3,1.7921097,1227.018085,0,0
30-Jun-22,25,3,0,2907.106592,1,0
30-Jun-22,32,3,27.21139368,2649.11448,0,0
30-Jun-22,36,1,0,4345.627672,1,0
30-Jun-22,36,3,0,2332.072353,1,0
30-Jun-22,37,2,3.062715477,2689.229063,0,1
30-Jun-22,44,1,3.103934,876.2609984,0,1
30-Jun-22,48,1,5.107512645,2257.387973,0,0
30-Jun-22,48,2,54.80271463,3021.522044,0,0
30-Jun-22,51,3,34.21854261,2221.647929,0,0
30-Jun-22,52,3,3.444434843,2077.395643,0,0
30-Jun-22,53,1,7.473097449,1969.632503,0,0
30-Jun-22,53,2,28.1199933,2449.407151,0,0
30-Jun-22,57,1,11.08240638,2304.936228,0,0
30-Jun-22,58,2,20.600301,2290.151323,0,0
30-Jun-22,58,3,25.12537799,2459.580958,0,0
30-Jun-22,65,1,12.34763583,1807.23869,0,0
30-Jun-22,66,3,4.519700663,2468.432188,0,0
15-Aug-22,2,1,10.81179782,4402.537908,0,0
15-Aug-22,4,2,8.908577319,3382.139318,0,0
15-Aug-22,10,1,0,1759.353519,1,0
15-Aug-22,13,3,0,4365.217223,1,1
15-Aug-22,14,2,6.435465933,3770.933933,0,0
15-Aug-22,16,2,0,2361.799868,1,1
15-Aug-22,19,3,0,3291.858208,1,0
15-Aug-22,20,1,0,3968.074961,1,0
15-Aug-22,24,1,0,4712.361417,1,1
15-Aug-22,30,3,12.91573461,4209.868194,0,0
15-Aug-22,34,2,0,4700.617722,1,0
15-Aug-22,34,3,0,3935.515912,1,0
15-Aug-22,38,2,0,2061.560562,1,1
15-Aug-22,42,2,0,4735.906154,1,1
15-Aug-22,43,2,0,1430.567697,1,0
15-Aug-22,43,3,3.010744296,715.0266808,0,0
15-Aug-22,47,2,0,3381.961899,1,1
15-Aug-22,53,1,0,3460.295014,1,1
15-Aug-22,55,1,0,3945.628787,1,0
15-Aug-22,56,2,5.908585681,3315.3904,0,0
15-Aug-22,59,2,5.663066652,2636.429927,0,1
15-Aug-22,61,2,0,3132.467971,1,1
15-Aug-22,63,1,0,3149.308426,1,0
15-Aug-22,63,3,0,2309.115427,1,0
15-Aug-22,64,2,0,3906.467606,1,1
15-Aug-22,66,1,0,3824.440953,1,1
15-Aug-22,66,2,0,3768.412435,1,1
